Collection,ministry,n_rows,merge_add_columns,needs_review,n_header_sigs,n_missing_header,sample_titles
"Village/Town-wise Primary Census Abstract, 2011 - Aurangabad District (schema 1)","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",578,district,False,1,0,"Village/Town-wise Primary Census Abstract, 2011 - Kupwara District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Badgam District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Leh(Ladakh) District of JAMMU & KASHMIR"
Crimes : Udaipur,"Ministry of Housing and Urban Affairs, Smart Cities Mission, Rajasthan, Udaipur",2,,True,1,0,Crimes : Udaipur  2014 to 2018 | Crimes: Udaipur 2014 to 2018
Street lights Kakinada,"Ministry of Housing and Urban Affairs, Smart Cities Mission, Andhra Pradesh, Kakinada",2,year,False,1,0,street lights kakinada As on Jan 2019 | Street lights Kakinada 2018
Water and Sanitation : Warangal,"Ministry of Housing and Urban Affairs, Smart Cities Mission, Telangana, Greater Warangal",2,,True,2,0,Water and Sanitation: WARANGAL | Water and Sanitation : Warangal : 2019
Public Transport Accessibility : WARANGAL,"Ministry of Housing and Urban Affairs, Smart Cities Mission, Telangana, Greater Warangal",2,year,False,1,0,Public Transport Accessibility : WARANGAL : As on Jan 2019 | Public Transport Accessibility : Warangal : 2019
State & UT-wise Number of Prison Inmates Trained Under Different Vocational Trainings (schema 3),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,State & UT-wise Number of Prison Inmates Trained Under Different Vocational Trainings during 2013 | State & UT-wise Number of Prison Inmates Trained Under Different Vocations Trainings during 2011
State & UT-wise Details of Expenses on Inmates (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,State & UT-wise Details of Expenses on Inmates during 2013 & 2014 | State & UT-wise Details of Expenses on Inmates during 2009 & 2010
Solid Waste Ward wise Segregation Data : Chennai : as on 31-01,"Ministry of Housing and Urban Affairs, Smart Cities Mission, Tamil Nadu, Chennai",2,,True,1,0,Solid Waste Ward wise Segregation Data : Chennai : as on 31-01-2019 | Solid Waste Ward wise Segregation Data for Chennai as on 31 - 01 - 2019
Ahmedabad_Shops and Establishment_Licence_2015,"Ministry of Housing and Urban Affairs, Smart Cities Mission, Gujarat, Ahmedabad",2,,True,1,0,Ahmedabad_Shops and Establishment_Licence_2015-2019 | Shops And Establishment Licence : Ahmedabad : 2015-16 to 2018-19
Water & Sanitation Visakhapatnam,"Ministry of Housing and Urban Affairs, Smart Cities Mission, Andhra Pradesh, Visakhapatnam",2,,True,1,0,Water and Sanitation : Visakhapatnam : As on Jan 2019 | Water & Sanitation Visakhapatnam : As on Jan 2019
Condition of Roads : Pune : as,"Ministry of Housing and Urban Affairs, Smart Cities Mission, Maharashtra, Pune",2,,True,1,0,Condition of Roads : Pune : as of 2018 | Condition of Roads Pune
Governance : Pimpri-Chinchwad,"Ministry of Housing and Urban Affairs, Smart Cities Mission, Maharashtra, Pimpri Chinchwad",2,year,False,1,0,Governance : Pimpri-Chinchwad 2014 | Governance: Pimpri Chinchwad 2022
Financial Health Details Solapur City,"Ministry of Housing and Urban Affairs, Smart Cities Mission, Maharashtra, Solapur",2,,True,2,0,Financial Health Details Solapur City | Financial Health Details Solapur City 2014-18
Community Facilities Kohima,"Ministry of Housing and Urban Affairs, Smart Cities Mission, Nagaland, Kohima",2,,True,1,0,Community Facilities Kohima_2019 | Community Facilities Kohima 2019
Solid Waste Processing Data :Pune as on,"Ministry of Housing and Urban Affairs, Smart Cities Mission, Maharashtra, Pune",2,,True,1,0,Solid Waste Processing Data :Pune as on 2018 | Solid Waste Processing Data:Pune as on 2018
State & UT-wise Total Number of Livestock and Poultry during 18th Livestock Census," Ministry of Fisheries, Animal Husbandry and Dairying,Department of Animal Husbandry and Dairying",2,year,True,2,0,State & UT-wise Total Number of Livestock and Poultry during 18th Livestock Census-2007 | State & UT-wise Total Number of Livestock and Poultry during 19th Livestock Census-2012
"Foreign Tourist Arrivals (FTAs), Arrivals of Non-Resident indians (NRIs) and international Tourist Arrivals (ITAs) (schema 3)",Ministry of Tourism,2,,True,2,0,"Foreign Tourist Arrivals (FTAs), Arrivals of Non-Resident indians (NRIs) and international Tourist Arrivals (ITAs) from 1981 to 2018 | Foreign Tourist Arrivals (FTAs), arrivals of Non-Resident Indians (NRIs) and International Tourist Arrivals (ITAs) from 1981 to 2019"
"Scheme-wise Outlay and Expenditure during 11th Plan for Department of Animal Husbandry, Dairying and Fisheries (schema 1)"," Ministry of Fisheries, Animal Husbandry and Dairying,Department of Animal Husbandry and Dairying",2,,True,2,0,"Scheme-wise Outlay and Expenditure during 2010-11 for Department of Animal Husbandry, Dairying and Fisheries | Scheme-wise Outlay and Expenditure during 2011-12 for Department of Animal Husbandry, Dairying and Fisheries"
State/UT-wise Number of PMJDY Account Opened from 01.09.2014 to 23.02.2024,"Ministry of Finance, Department of Financial Services",2,year,False,1,0,State/UT-wise Number of PMJDY Account Opened from 01.09.2014 to 23.02.2024 | State/UT-wise Number of PMJDY Account Opened from 01.09.2014 to 30.09.2024
State & UT-wise Details of Escapees (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,State & UT-wise Details of Escapees during 2000 | State & UT-wise Details of Escapees During 1999
State & UT-wise Number of Convicts by Type of Offences under Special and Local Laws at the end (schema 4),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,State & UT-wise Number of Convicts by Type of Special and Local Laws Offences at the end of 1999 | State & UT-wise Number of Undertrials by Type of Special and Local Laws Offences at the end of 1999
Cash Transaction Reports received in 2010-11 under Prevention of Money Laundering Act,"Ministry of Finance, Department of Revenue",2,,True,2,0,Cash Transaction Reports received in 2010-11 under Prevention of Money Laundering Act | Cash Transaction Reports received in 2011-12 under Prevention of Money Laundering Act
State & UT-wise Capacity and Population of Jails (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,State & UT-wise Capacity and Population of Jails during 1996 | State & UT-wise Capacity and Population of Jails during 1995
State & UT-wise and Category-wise Capacity & Population in Jails by Type of Inmates (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,State & UT-wiseand Category-wise Capacity & Population in Jails by Type of Inmates during 1996 | State & UT-wise and Category-wise Capacity and Population in Jails by Type of Inmates during 1995
"Water quality of Tributary Streams Chunt Kol, Gawkadal, Jhelum, Banganga, Basanter, Chenab, Devak, Lidder, Sindh, Tawi & Ujh (schema 1)","Ministry of Environment, Forest and Climate Change, Central Pollution Control Board",2,year,False,1,0,"Water quality of tributary streams Chunt Kol, Gawkadal, Jhelum, Banganga, Basanter, Chenab, Devak, Lidder, Sindh, Tawi & Ujh in Jammu & Kashmir - 2014 | Water quality of tributary streams Chunt Kol, Gawkadal, Jhelum, Banganga, Basanter, Chenab, Devak, Lidder, Sindh, Tawi & Ujh in Jammu & Kashmir - 2013"
Water quality of River Yamuna (schema 1),"Ministry of Environment, Forest and Climate Change, Central Pollution Control Board",2,year,False,1,0,Water quality of river Yamuna - 2014 | Water quality of river Yamuna - 2013
Water quality of River Satluj (schema 1),"Ministry of Environment, Forest and Climate Change, Central Pollution Control Board",2,year,True,2,0,Water quality of river Satluj - 2014 | Water quality of river Satluj - 2013
Water quality of River Pennar (schema 1),"Ministry of Environment, Forest and Climate Change, Central Pollution Control Board",2,year,False,1,0,Water quality of river Pennar - 2014 | Water quality of river Pennar - 2013
Water quality of River Narmada and Its Tributary Streams Gour & Katni (schema 1),"Ministry of Environment, Forest and Climate Change, Central Pollution Control Board",2,year,False,1,0,Water quality of river Narmada and its tributary streams Gour & Katni - 2014 | Water quality of river Narmada and its tributary streams Gour & Katni - 2013
Crime Head-wise Court Disposal of SLL Crime Cases (schema 5),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,1,0,Crime Head-wise Court Disposal of IPC Crime Cases during 2016 | Crime Head-wise Court Disposal of SLL Crime Cases during 2016
Crime Head and Gender-wise Persons Arrested under IPC Crimes (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,"Crime Head, Age Group and Gender-wise Persons Arrested under IPC Crimes during 2016 | Crime Head, Age Group and Gender-wise Persons Arrested under SLL Crimes during 2016"
Age Group and Gender-wise Persons Arrested under IPC Crimes (in Metropolitan Cities) (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,"City, Age Group and Gender-wise Persons Arrested under IPC Crimes in Metropolitan Cities during 2016 | City, Age Group and Gender-wise Persons Arrested under SLL Crimes in Metropolitan Cities during 2016"
Age Group and Gender-wise Persons Arrested under IPC Crimes (in Metropolitan Cities) (schema 3),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,"Crime Head, Age Group and Gender-wise Persons Arrested under IPC Crimes in Metropolitan Cities during 2016 | Crime Head, Age Group and Gender-wise Persons Arrested under SLL Crimes in Metropolitan Cities during 2016"
Water quality of River Krishna (schema 1),"Ministry of Environment, Forest and Climate Change, Central Pollution Control Board",2,year,False,1,0,Water quality of river Krishna - 2014 | Water quality of river Krishna - 2013
Water quality of River Cauvery (schema 1),"Ministry of Environment, Forest and Climate Change, Central Pollution Control Board",2,year,False,1,0,Water quality of river Cauvery - 2014 | Water quality of river Cauvery - 2013
Water quality of River Brahmaputra (schema 1),"Ministry of Environment, Forest and Climate Change, Central Pollution Control Board",2,year,False,1,0,Water quality of river Brahmaputra - 2014 | Water quality of river Brahmaputra-2013
"All India Purpose-wise and Sex-wise Detail of Kidnapping & Abduction (Sec.363 to 369, 371 to 373 IPC) (schema 2)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,"All India Purpose and Sex-wise Detail of Kidnapping & Abduction (Sec.363 to 369, 371 to 373 IPC) during 2008 | All India Purpose-wise,Sex-wise & Age Group Wise detail of Kidnapping & Abduction (Sec.363 to 369, 371 to 373 IPC) during 2005"
State/UT-wise Chargesheeting Rate of IPC Crimes (schema 3),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,State/UT-wise Chargesheeting Rate of IPC Crimes during 2008 | State/UT-wise Chargesheeting Rate of IPC Crimes during 2007
State/UT-wise Percentage of Schools having Tinkering Labs by Management,"Ministry of Education, Department of School Education and Literacy",2,year,True,2,0,State/UT-wise Percentage of Schools having Tinkering Labs by Management during 2021-22 | State/UTs-wise Percentage of Schools having Tinkering Labs by Management during 2023-24
State/UT & City-wise Incidence & Rate of Crime Committed Against Women (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,State/UT & City-wise Incidence of Crimes committed against Women during 2008 | State/UT & City-wise Incidence of Crimes Committed against Women during 2006
Water quality of Medium & Minor Rivers In Gujarat & Daman (schema 1),"Ministry of Environment, Forest and Climate Change, Central Pollution Control Board",2,year,False,1,0,Water quality of medium & minor rivers in Gujarat & Daman - 2014 | Water quality of medium & minor rivers in Gujarat & Daman - 2013
"Water quality of Creek, Canal & Drains (schema 1)","Ministry of Environment, Forest and Climate Change, Central Pollution Control Board",2,year,False,1,0,"Water quality of creek, canal & drains - 2014 | Water quality of Creek, Canal & Drains - 2013"
"Water quality of tributary streams Ravi, Parvati, Largi, Sirsa, Swan, Siuel, Suketikhad, Binwa, Neugal, Spiti & Baspa (schema 1)","Ministry of Environment, Forest and Climate Change, Central Pollution Control Board",2,year,False,1,0,"Water quality of tributary streams Ravi, Parvati, Largi, Sirsa, Swan, Siuel, Suketikhad, Binwa, Neugal, Spiti & Baspa in Himachal Pradesh and Punjab - 2014 | Water quality of tributary streams Ravi, Parvati, Largi, Sirsa, Swan, Siuel, Suketikhad, Binwa, Neugal, Spiti & Baspa in Himachal Pradesh and Punjab - 2013"
"State/UT-wise Number of Additional Enrolments as Reported at Block Level in Private Pre-Primary Schools, Unrecognized Schools and Skill Centres","Ministry of Education, Department of School Education and Literacy",2,year,True,2,0,"State/UT-wise Number of Additional Enrolments as Reported at Block Level in Private Pre-Primary Schools, Unrecognized Schools and Skill Centres during 2022-23 | State/UTs-wise Number of Additional Enrolments as Reported at Block level in Private Pre-Primary Schools, Unrecognized Schools and Skill Centres during 2023-24"
